Tijdstempel,Achternaam Kind,Voornaam Kind,Groep,Aanwezigheid van het kind [Woensdag],Aanwezigheid van het kind [Donderdag],Aanwezigheid van het kind [Vrijdag],Aanwezigheid van het kind [Zaterdag],"Geef hier eventuele allergieën of dieetwensen (bijv. vegetarisch, veganistisch) van je kind aan:",Opmerkingen:,Dit is mijn eerste NTC zomerkamp,Ik blijf slapen op het kamp:,Opmerkingen overnachten:,Mijn beschikbaarheid als hulpouder is: [07:00 - 07:30],Mijn beschikbaarheid als hulpouder is: [07:30 - 09:00],Mijn beschikbaarheid als hulpouder is: [09:00 - 13:00],Mijn beschikbaarheid als hulpouder is: [13:00 - 15:30],Mijn beschikbaarheid als hulpouder is: [15:30 - 18:00],Mijn beschikbaarheid als hulpouder is: [18:00 - 21:00],Opmerkingen beschikbaarheid:,Heb je een auto beschikbaar (om bijvoorbeeld leerkrachten van het station op te halen),Eventuele voedselallergieën Ouder:,Naam Ouder,E-mail Ouder,Telefoonnummer Ouder,Chat apps,Klassenfoto,Foto's en video's tijdens het zomerkamp.,Opmerkingen foto's en video's,E-mailadres,Opmerkingen chat apps
2026-04-23 20:05:01.540000,Verbeek,Ilse,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,,Nee,,Sepp van Duyvenvoorde,sepp@ntc.fi,+358000000000,Ik gebruik liever Signal,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-23 22:24:36.810000,Mulders,Lex,Groep 8,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,-,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Bo Heinrichs,bo@ntc.fi,0458000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-24 08:34:04.438000,van Vermandois,Maartje,Groep 7,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Nvt,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,,"Donderdag, Vrijdag",Vrijdag,Vrijdag,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,Nee,Nvt,Janna,janna@ntc.fi,0404000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-24 09:28:52.610000,Krabbe,Pleun,Groep 5,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Valerie,valerie@ntc.fi,0503000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-24 21:11:09.396000,Tielemans,Elias,Groep 3b,,,,,,,,,,,,,,,,,,,,,,,Mijn kind mag niet deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-04-25 11:14:52.840000,Wouters,Tara,Groep 3a,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Vrijdagavond,,,"Vrijdag, Zaterdag","Vrijdag, Zaterdag",Vrijdag,,Vrijdag,,Nee,,Lizzy,lizzy@ntc.fi,0504000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-25 11:16:44.643000,Wouters,Sienna,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Vrijdagavond,,,"Vrijdag, Zaterdag","Vrijdag, Zaterdag",Vrijdag,,Vrijdag,,Nee,,Lize,lize@ntc.fi,0504000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-25 13:33:34.568000,Adelaar,Maartje,Groep 2,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,-,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,-,Cornelia Höning,cornelia@ntc.fi,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-25 20:45:05.416000,Schrik,Britt,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Vegetarisch, allergisch voor honden, katten, paarden",,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,"Woensdag, Donderdag, Vrijdag, Zaterdag",Zaterdag,Zaterdag,Zaterdag,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",,Ja,,Jake,jake@ntc.fi,+31600000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-25 20:48:41.339000,Schrik,Tim,Groep 2,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Allergies voor Noten (pinda’s en cashewnoten ok), ook allergisch voor soja, melk",,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,,,Jake,jake@ntc.fi,+31600000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-25 23:02:03.239000,Koret,Tara,Groep 8,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-26 08:25:43.889000,de Vries,Mia,Groep 8,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Laktose intollerant,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,,,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-26 08:31:19.005000,de Vries,Joël,Groep 4,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Hazelnoten. Sporen van is OK. Zal hem zowiezo antihistamine geven elke dag want heeft ook veel last van hooikoorts.,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-26 10:43:37.383000,Oversteeg,Ninthe,Groep 1,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,,,Justin,justin@ntc.fi,44010000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-04-26 10:45:03.289000,Oversteeg,Willem,Groep 5,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond, Ik blijf niet slapen",,,,,,,,,,,Amira Heribert van Laon,amira@ntc.fi,44010000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-04-26 21:32:47.736000,van de Biesenbos,Jayda,Groep 2,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Wij komen al op dinsdagavond,,,,,,,"Woensdag, Donderdag, Vrijdag",,Ja,,Berend Oosterhout,berend@ntc.fi,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-27 14:54:10.823000,Schilt,Azra,Groep 8,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-27 22:53:49.005000,Levesque,Dina,Groep 3b,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",Zaterdag,Zaterdag,,"Woensdag, Donderdag, Vrijdag",,Ja,,Fleur,fleur@ntc.fi,0451000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-27 22:55:44.044000,Levesque,Jules,Groep 2,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Ja,,Berend de Gruil,berend@ntc.fi,0400000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-28 22:37:22.183000,Geldens,Wessel,Groep 6,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"vegetarisch (ei, vis en melk ok)",,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-29 12:36:31.438000,van Bentheim,Abel,Groep 4,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,geen,,Nee,Ik blijf niet slapen,,,,Zaterdag,,,,,Ja,geen,Chloé van Duvenvoirde,chloe@ntc.fi,050-0000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-29 12:37:31.276000,van Bentheim,Benjamin,Groep 2,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,geen,,Nee,Ik blijf niet slapen,,,,Zaterdag,,,,,Ja,geen,Chloé van Duvenvoirde,chloe@ntc.fi,045-0000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-29 21:14:40.506000,de Hoogh,Boris,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Ja,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Nee,"Lactose, ui, knoflook, bonen en peulvruchten, koolsoorten, bloemkool, appel. ",Pim,pim@ntc.fi,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-30 15:36:42.732000,Grondel,Justin,Groep 3a,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Zaterdag","Woensdag, Donderdag, Zaterdag","Woensdag, Donderdag",,,Ja,,,,0502000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-02 13:07:33.410000,van Gils,Niels,Groep 5,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag",Vrijdag,,,Nee,,Aaliyah van der Spaendonc,aaliyah@ntc.fi,0442000000,Ik gebruik liever Signal,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-02 16:07:00.774000,Middelkoop,Amir,Groep 3b,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",Huiswerk,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Lukas Oemencs,lukas@ntc.fi,+358000000000,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-02 17:33:16.299000,van Duivenvoorde,Dave,Groep 3a,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Nee,,Ja,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,"Vrijdag, Zaterdag","Vrijdag, Zaterdag",,,,Nee,,Joëlle,joelle@ntc.fi,0406000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
